table,name,valueType,unit,label:en,question:en,comment:en,value_encoding
Comprehensive_Baseline_v7-2,CR2_DEVC_LG_COM,text,,"Used leg braces, supportive devices","During the past 12 months, have you used any of the following assistive devices?",,1=Yes|0=No
Tracking_Baseline_v4-1,SDC_ETHN_DE_TRM,text,,Parental ethnic background German,To which ethnic or cultural groups did your ancestors belong?,,1=Yes|0=No
Tracking_Baseline_v4-1,ED_HIGH_TRM,text,,Education highest degree,"What is the highest degree, certificate, or diploma you have obtained?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Includes re-coded higher education responses from the original open text variable.,"01=No post-secondary degree, certificate, or diploma|02=Trade certificate or diploma from a vocational school or apprenticeship training|03=Non-university certificate or diploma from a community college, CEGEP, school of nursing, etc.|04=University certificate below bachelor’s level|05=Bachelor’s degree|06=University degree or certificate above bachelor’s degree|97=Other (please specify)"
Tracking_Baseline_v4-1,FUL_LFT10DG_TRM,text,,Degree of difficulty lifting 10 pounds,"Would you say the degree of difficulty is… a little difficult, somewhat difficult, very difficult?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A little difficult|2=Somewhat difficult|3=Very difficult
Tracking_Baseline_v4-1,RPL_INFSP_SI_TRM,text,,Spouse or partner's income an influence to retire,Sometimes people’s reasons for retirement are influenced by their spouse or partner. Which of the following will likely influence your retirement?,,1=Yes|0=No
Tracking_Baseline_v4-1,WEA_MRTL_CHANGE_MCQ,text,,Marital status change from baseline,What is your current marital/partner status?,,
Tracking_Baseline_v4-1,RET_WKSAME_TRM,text,,Returned to work for same or different employer,Was this for the same employer or for a different employer as prior to retirement?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=For the same employer|2=For a different employer|3=For yourself or your own business
Tracking_Baseline_v4-1,SMK_NBCG_TRM,text,,Current number of cigarettes smoked per day,How many cigarettes do you smoke each day now?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=1-5 cigarettes|2=6-10 cigarettes|3=11-15 cigarettes|4=16-20 cigarettes|5=21-25 cigarettes|6=26+ cigarettes
Tracking_Baseline_v4-1,SMK_TYPEOT_PI_TRM,text,,Ever used tobacco pipes,What other types of tobacco products have you ever used on a regular basis and for a period of at least six months?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,ALC_OTWE_NB_TRM,decimal,,Another kind of alcohol consumed on weekends (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on the weekend? Other alcohol",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,ALC_LQWD_NB_TRM,decimal,,Liquors consumed on weekdays (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on weekdays? Liquor",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,HWT_HGHT3_TRM,text,,Height 36'' - 47'',The next questions are about height and weight...How tall are you without shoes on? ,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,"01=3'0"" / 36"" (90.2 to 92.6 cm)|02=3'1"" / 37"" (92.7 to 95.2 cm)|03=3'2"" / 38"" (95.3 to 97.7 cm.)|04=3'3"" / 39"" (97.8 to 100.2 cm)|05=3'4"" / 40"" (100.3 to 102.8 cm)|06=3'5"" / 41"" (102.9 to 105.3 cm)|07=3'6"" / 42"" (105.4 to 107.9 cm)|08=3'7"" / 43"" (108.0 to 110.4 cm)|09=3'8"" / 44"" (110.5 to 112.9 cm)|10=3'9"" / 45"" (113.0 to 115.5 cm)|11=3'10"" / 46"" (115.6 to 118.0 cm)|12=3'11"" / 47"" (118.1 to 120.6 cm)"
Tracking_Baseline_v4-1,NUR_GLSWT_MCQ,text,,"SCREEN II-AB: Gained, lost or stayed the same weight","Compared with 6 months ago, have you gained weight, lost weight, or stayed about the same?","Part of the SCREEN© instrument (Abbreviated version of SCREEN II©) developed by Dr. Heather Keller (University of Guelph, Ontario, Canada)",
Comprehensive_Baseline_v7-2,DXA_OI_WATER_LBM_COM,decimal,,Assumed % of the lean body mass that is water,,,
Comprehensive_Baseline_v7-2,WHC_WAIST_CM_COM,decimal,cm,Waist circumference in cm,,,
Comprehensive_Baseline_v7-2,BP_STATUS_COM,text,,Blood Pressure test status,,Only test marked as 'Completed' (Category 1) would have a test timing registered,1=Completed|2=NotApplicable|3=Skipped
Comprehensive_Baseline_v7-2,DIA_PRGDIA_COM,text,,"Diabetes, borderline diabetes or high blood sugar when pregnant","When you were pregnant, did the doctor tell you that you had diabetes, borderline diabetes or high blood sugar?",,1=Yes|2=No
Comprehensive_Baseline_v7-2,CCC_HEART_COM,text,,"Heart disease (including congestive heart failure, or CHF)","Has a doctor ever told you that you have heart disease (including congestive heart failure, or CHF)?",,1=Yes|2=No
Comprehensive_Baseline_v7-2,CCC_CVA_COM,text,,Stroke or CVA,Has a doctor ever told you that you have experienced a Stroke or CVA? (cerebrovascular accident)?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CANTP_SM_TRM,text,,Skin cancer: melanoma,What type(s) of cancer were you diagnosed with?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,DEP_FFRT_TRM,text,,CES-D 10 scale: Frequency feel everything is an effort,How often did you feel that everything you did was an effort?,"Part of the Center for Epidemiologic Studies Short Depression Scale (CES-D 10). Andresen EM, Malmgren JA, Carter WB, Patrick DL. Screening for depression in well older adults: evaluation of a short form of the CES-D (Center for Epidemiologic Studies Depr",1=All of the time (5-7days)|2=Occasionally (3-4 days)|3=Some of the time (1-2 days)|4=Rarely or never (less than 1 day)
Tracking_Baseline_v4-1,HCU_FAMPHY_MCQ,text,,"Contact with a general practitioner, family physician in past 12 months","During the past 12 months, have you had contact with any of the following about your physical or mental health? - General practitioner, family physician",,
Comprehensive_Baseline_v7-2,SLE_QLTY_COM,text,,Satisfaction with current sleep pattern,How satisfied or dissatisfied are you with your current sleep pattern?,,1=Very Satisfied|2=Satisfied|3=Neutral|4=Dissatisfied|5=Very Dissatisfied
Tracking_Baseline_v4-1,PA2_SIT_CRO_MCQ,text,,"PASE scale: Participated in sitting activities - Crosswords, puzzles, etc.","What were these activities? DO NOT READ LIST, MULTIPLE RESPONSES ALLOWED, CODE ALL THAT APPLY","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Tracking_Baseline_v4-1,ADL_HPWK_TRM,text,,OARS scale: Able to walk with help,"Can you walk with some help from a person, or with the use of a walker or crutches, etc.?","Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.
Part of the Older Americans Resources and Services (OARS) Multidimensional Assessment scale. Fillenbaum GG, Smyer MA. The development, validi",1=Yes|2=No
Comprehensive_Baseline_v7-2,NUT_BTTR_NB_COM,decimal,,Frequency of consumption (times per day) of butter or regular margarine,How often do you usually eat butter or regular margarine on bread or on cooked vegetables only?,"This is a derived variable. It reflects the frequency of food item consumption based on the number of reported times per DAY. Conversions of (times/ 365), (times/ 7) & (times/ 30) were used for participants who reported frequencies in years, weeks and mon",
Tracking_Baseline_v4-1,ORH_EXP_JJP_MCQ,text,,Oral health problems - Jaw joints painful,In the past 12 months have you experienced any of the following?,,
Tracking_Baseline_v4-1,TRA_MEDTPC_HRB_MCQ,text,,Discussed with medical professional: Safety related to non-prescription medication,Which of the following topics related to your driving did you discuss with the medical professional?,,
Tracking_Baseline_v4-1,SN_LIVH_M3_S_TRM,text,,Sex of member in household - Member 3,What is the sex of person #3?,,F=Female|M=Male
Tracking_Baseline_v4-1,SDC_LANG_AR_TRM,text,,Language conversation Arabic,In what languages can you conduct a conversation?,,1=Yes|0=No
Comprehensive_Baseline_v7-2,CR2_DEVC_HD_COM,text,,Used a hand or arm brace,"During the past 12 months, have you used any of the following assistive devices?",,1=Yes|0=No
Tracking_Baseline_v4-1,SDC_ETHN_GD_TRM,text,,Parental ethnic background Scottish,To which ethnic or cultural groups did your ancestors belong?,,1=Yes|0=No
Tracking_Baseline_v4-1,ED_HIGH_OTSP_TRM,text,,"Education highest degree other, Specify","What is the highest degree, certificate, or diploma you have obtained?",,
Tracking_Baseline_v4-1,FUL_HDLGDG_TRM,text,,Degree of difficulty handling small objects,"Would you say the degree of difficulty is… a little difficult, somewhat difficult, very difficult?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A little difficult|2=Somewhat difficult|3=Very difficult
Tracking_Baseline_v4-1,INC_SRCE_SE_TRM,text,,Household income from self-employment,"Thinking about the total income for all household members, from which of the following sources did your household receive any income in the past 12 months?",,1=Yes|0=No
Comprehensive_Baseline_v7-2,SDC_MRTL_COM,text,,Marital/partner status,What is your current marital/partner status?,,"1=Single, never married or never lived with a partner|2=Married/Living with a partner in a common-law relationship|3=Widowed|4=Divorced|5=Separated"
Tracking_Baseline_v4-1,LFP_LGPAY_TRM,text,,"Paid, unpaid, self-employed in the longest job","Now I would like you to think back over your entire career to the job that you worked the longest. In the job you worked the longest, were you a paid employee, self-employed, or an unpaid family worker?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A paid employee|2=Self-employed|3=Unpaid family worker
Tracking_Baseline_v4-1,SMK_NBCG_NB_TRM,decimal,,"Current number of cigarettes smoked per day, more than 26","How many cigarettes do you smoke each day now? If 26 +, how many?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 75.,
Tracking_Baseline_v4-1,SMK_TYPEOT_CH_TRM,text,,Ever used chewing tobacco or snuff,What other types of tobacco products have you ever used on a regular basis and for a period of at least six months?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,ALC_MLFQ_TRM,text,,Binge drinking male,About how often during the past 12 months would you say you had five or more drinks at the same sitting or occasion? (asked if male),Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Applicable to male participants who drank alcohol during the past 12 months.,01=Almost every day (incl. 6 times a week)|02=4-5 times a week|03=2-3 times a week|04=Once a week|05=2-3 times a month|06=About once a month|07=Less than once a month|96=Never
Tracking_Baseline_v4-1,ALC_RDWE_NB_TRM,decimal,,Red wine consumed on weekends (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on the weekend? Red wine",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,HWT_HGHT4_TRM,text,,"Height 48'' - 59""",The next questions are about height and weight...How tall are you without shoes on? ,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,"01=4'0"" / 48"" (120.7 to 123.1 cm)|02=4'1"" / 49"" (123.2 to 125.6 cm)|03=4'2"" / 50"" (125.7 to 128.2 cm)|04=4'3"" / 51"" (128.3 to 130.7 cm)|05=4'4"" / 52"" (130.8 to 133.3 cm)|06=4'5"" / 53"" (133.4 to 135.8 cm)|07=4'6"" / 54"" (135.9 to 138.3 cm)|08=4'7"" / 55"" (138.4 to 140.9 cm)|09=4'8"" / 56"" (141.0 to 143.4 cm)|10=4'9"" / 57"" (143.5 to 146.0 cm)|11=4'10"" / 58"" (146.1 to 148.5 cm)|12=4'11"" / 59"" (148.6 to 151.0 cm)"
Tracking_Baseline_v4-1,NUR_WTGL_MCQ,text,,SCREEN II-AB: How much weight gained or lost,How much weight did you lose/gain in the past 6 months?,"Part of the SCREEN© instrument (Abbreviated version of SCREEN II©) developed by Dr. Heather Keller (University of Guelph, Ontario, Canada)",
Comprehensive_Baseline_v7-2,DXA_OI_TOTAL_PERCENT_FAT_COM,decimal,,% of total body mass that is fat,,,
Comprehensive_Baseline_v7-2,WHC_RATIO_COM,decimal,,Waist to hip ratio,,,
Comprehensive_Baseline_v7-2,BP_SYSTOLIC_FIRST_COM,integer,mmHg,First systolic blood pressure reading,,,
Comprehensive_Baseline_v7-2,DIA_MED_COM,text,,Taking medication for diabetes,Are you currently taking medication for diabetes?,,1=Yes|2=No
Comprehensive_Baseline_v7-2,CCC_ANGI_COM,text,,angina,Has a doctor ever told you that you have angina (or chest pain due to heart disease)?,,1=Yes|2=No
Comprehensive_Baseline_v7-2,STR_MED_COM,text,,Taking medication for stroke,Are you currently taking medications for stroke?,,1=Yes|2=No
Tracking_Baseline_v4-1,CCT_CANTP_SNM_TRM,text,,Skin cancer: non-melanoma,What type(s) of cancer were you diagnosed with?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,DEP_HPFL_TRM,text,,CES-D 10 scale: Frequency feel hopeful about the future,How often did you feel hopeful about the future?,"Part of the Center for Epidemiologic Studies Short Depression Scale (CES-D 10). Andresen EM, Malmgren JA, Carter WB, Patrick DL. Screening for depression in well older adults: evaluation of a short form of the CES-D (Center for Epidemiologic Studies Depr",1=All of the time (5-7days)|2=Occasionally (3-4 days)|3=Some of the time (1-2 days)|4=Rarely or never (less than 1 day)
Tracking_Baseline_v4-1,HCU_SPEC_MCQ,text,,"Contact with a medical specialist (such as a cardiologist, gynaecologist, psychiatrist) in past 12 months","During the past 12 months, have you had contact with any of the following about your physical or mental health? - Medical specialist (such as a cardiologist, gynaecologist, psychiatrist)",,
Comprehensive_Baseline_v7-2,SLE_30MIN_COM,text,,Required more than 30 min to fall asleep,"Over the last month, how often did it take you more than 30 minutes to fall asleep?",,1=Never|2=Less than once per week|3=Once or twice a week|4=3-5 times/week|5=6-7 times/week
Tracking_Baseline_v4-1,PA2_SIT_HAN_MCQ,text,,PASE scale: Participated in sitting activities - Handicrafts,"What were these activities? DO NOT READ LIST, MULTIPLE RESPONSES ALLOWED, CODE ALL THAT APPLY","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Tracking_Baseline_v4-1,ADL_UNWK_TRM,text,,OARS scale: Unable to walk,Are you completely unable to walk?,"Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.
Part of the Older Americans Resources and Services (OARS) Multidimensional Assessment scale. Fillenbaum GG, Smyer MA. The development, validi",1=Yes|2=No
Tracking_Baseline_v4-1,NUR_SWLLFD_MCQ,text,,"SCREEN II-AB: Cough, choke pain when swallowing food","In general, how often do you cough, choke, or have pain when swallowing food or fluid? Would you say...","Part of the SCREEN© instrument (Abbreviated version of SCREEN II©) developed by Dr. Heather Keller (University of Guelph, Ontario, Canada)",
Comprehensive_Baseline_v7-2,MEDI_NO_COM,text,,Number of medications taken by participant,,,
Tracking_Baseline_v4-1,SN_LIVH_M4_S_TRM,text,,Sex of member in household - Member 4,What is the sex of person #4?,,M=Male|F=Female
Tracking_Baseline_v4-1,SDC_LANG_CN_TRM,text,,Language conversation Cantonese,In what languages can you conduct a conversation?,,1=Yes|0=No
Comprehensive_Baseline_v7-2,CR2_DEVC_NB_COM,text,,Used neck or back brace,"During the past 12 months, have you used any of the following assistive devices?",Added variable based on open text responses from other assistive devices used.,1=Yes|0=No
Tracking_Baseline_v4-1,SDC_ETHN_GA_TRM,text,,Parental ethnic background Irish,To which ethnic or cultural groups did your ancestors belong?,,1=Yes|0=No
Tracking_Baseline_v4-1,SPA_EDUC_TRM,text,,Frequency of participation in educational or cultural activities (past 12 months),"In the past 12 months, how often did you participate in Educational and cultural activities involving other people such as attending courses, concerts, plays, or visiting museums?",,1=At least once a day|2=At least once a week|3=At least once a month|4=At least once a year|5=Never
Tracking_Baseline_v4-1,FUL_ST15DG_TRM,text,,Degree of difficulty standing for a long period,"Would you say the degree of difficulty is… a little difficult, somewhat difficult, very difficult?",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=A little difficult|2=Somewhat difficult|3=Very difficult
Tracking_Baseline_v4-1,INC_SRCE_IN_TRM,text,,Household dividends and interest,"Thinking about the total income for all household members, from which of the following sources did your household receive any income in the past 12 months?",,1=Yes|0=No
Tracking_Baseline_v4-1,LBF_CURR_TRM,text,,Currently working,"Are you currently working at a job or business?  This includes part-time jobs, seasonal work, contract work, self-employment, or any other paid work regardless of the number of hours worked.",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No
Tracking_Baseline_v4-1,SMK_YRDL_NB_TRM,decimal,,"Total years of daily cigarette consumption, smoker",For how many total years have you smoked daily?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,
Tracking_Baseline_v4-1,SMK_TYPEOT_PT_TRM,text,,Ever used nicotine patches,What other types of tobacco products have you ever used on a regular basis and for a period of at least six months?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,ALC_FMFQ_TRM,text,,Binge drinking female,About how often during the past 12 months would you say you had four or more drinks at the same sitting or occasion? (asked if female),Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Applicable to female participants who drank alcohol during the past 12 months.,01=Almost every day (incl. 6 times a week)|02=4-5 times a week|03=2-3 times a week|04=Once a week|05=2-3 times a month|06=About once a month|07=Less than once a month|96=Never
Tracking_Baseline_v4-1,ALC_WHWE_NB_TRM,decimal,,White wine consumed on weekends (number of drinks),"In a typical week during the past 12 months, how many drinks of each of the following do you drink on the weekend? White wine",Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. Maximum allowable is 90.,
Tracking_Baseline_v4-1,HWT_HGHT5_TRM,text,,Height 60'' - 71'',The next questions are about height and weight...How tall are you without shoes on? ,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,"01=5'0"" (151.1 to 153.6 cm)|02=5'1"" (153.7 to 156.1 cm)|03=5'2"" (156.2 to 158.7 cm)|04=5'3"" (158.8 to 161.2 cm)|05=5'4"" (161.3 to 163.7 cm)|06=5'5"" (163.8 to 166.3 cm)|07=5'6"" (166.4 to 168.8 cm)|08=5'7"" (168.9 to 171.4 cm)|09=5'8"" (171.5 to 173.9 cm)|10=5'9"" (174.0 to 176.4 cm)|11=5'10"" (176.5 to 179.0 cm)|12=5'11"" (179.1 to 181.5 cm)"
Tracking_Baseline_v4-1,PA2_EXER_MCQ,text,,PASE scale: Frequency exercising to increase muscle strength and endurance - past 7 days,"Over the past 7 days, how often did you do any exercises specifically to increase muscle strength and endurance, such as lifting weights or push-ups, etc.?","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Comprehensive_Baseline_v7-2,DXA_AGC_WATER_LBM_COM,decimal,,Assumed % of the lean body mass that is water.,,,
Comprehensive_Baseline_v7-2,BP_DIASTOLIC_FIRST_COM,integer,mmHg,First diastolic blood pressure reading,,,
Comprehensive_Baseline_v7-2,DIA_MEDCUR_COM,text,,Currently taking drugs for diabetes,Are you currently taking these drugs for diabetes?,,1=YES|0=NO
Comprehensive_Baseline_v7-2,CCC_AMI_COM,text,,Heart attack or myocardial infarction,Has a doctor ever told you that you have had a heart attack or myocardial infarction?,,1=Yes|2=No
Comprehensive_Baseline_v7-2,STR_MEDCUR_COM,text,,Currently taking drugs for stroke,Are you currently taking these drugs for your stroke?,,1=YES|0=NO
Tracking_Baseline_v4-1,CCT_CANTP_BL_TRM,text,,Bladder cancer,What type(s) of cancer were you diagnosed with?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|0=No
Tracking_Baseline_v4-1,DEP_FRFL_TRM,text,,CES-D 10 scale: Frequency feel fearful or tearful,How often did you feel fearful or tearful? ,"Part of the Center for Epidemiologic Studies Short Depression Scale (CES-D 10). Andresen EM, Malmgren JA, Carter WB, Patrick DL. Screening for depression in well older adults: evaluation of a short form of the CES-D (Center for Epidemiologic Studies Depr",1=All of the time (5-7days)|2=Occasionally (3-4 days)|3=Some of the time (1-2 days)|4=Rarely or never (less than 1 day)
Tracking_Baseline_v4-1,HCU_PSYCH_MCQ,text,,Contact with a psychologist in past 12 months,"During the past 12 months, have you had contact with any of the following about your physical or mental health? - Psychologist",,
Comprehensive_Baseline_v7-2,SLE_30DUR_NB_COM,decimal,,Duration of having trouble going to sleep (years),For how long have you had this trouble going to sleep?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details. This is a derived variable. It reflects the reported duration of having trouble going to sleep in Years. Conversions of (duration/ 52) & (dur,
Tracking_Baseline_v4-1,PA2_SIT_LIS_MCQ,text,,PASE scale: Participated in sitting activities - Listening to radio/music,"What were these activities? DO NOT READ LIST, MULTIPLE RESPONSES ALLOWED, CODE ALL THAT APPLY","Part of the Physical Activity Scale for the Elderly (PASE)© 1991 New England Research Institutes (NERI), 9 Galen Street, Watertown, MA 02472.",
Tracking_Baseline_v4-1,IAL_ABLTRV_TRM,text,,OARS scale: Able to travel,"Can you get to places out of walking distance without help (i.e., you drive your own car, or travel alone on buses, or taxis)?","Part of the Older Americans Resources and Services (OARS) Multidimensional Assessment scale. Fillenbaum GG, Smyer MA. The development, validity, and reliability of the OARS multidimensional functional assessment questionnaire. J Gerontol 1981; 36(4):428-",1=Yes|2=No
Comprehensive_Baseline_v7-2,ROS_PAIN_COM,text,,WHO Rose - Chest pain or discomfort,Have you ever had any pain or discomfort in your chest?,Selected variable is part of a skip pattern. Please refer to the questionnaire for complete skip pattern details.,1=Yes|2=No
Comprehensive_Baseline_v7-2,MEDI_FRM_1_COM,text,,DIN coding source - Medication 1,,,I=In home interviewer using onyx database for DINs|C=Computer algorithm provided the DIN or NPN: C- Coded manually by coders|AC=Computer algorithm provided the DIN or NPN: AC- Code algorithm|AD=Computer algorithm provided the DIN or NPN: AD- Direct algorithm
